,DL_time,n_correct,accuracy,fp_rate,fn_rate
0,0.0049285888671875,98,0.49,0.0,0.0
1,0.0060808658599853516,111,0.555,0.006999999999999999,0.006999999999999999
2,0.006850242614746094,98,0.49,0.013999999999999999,0.013999999999999999
3,0.005695343017578125,101,0.505,0.020999999999999998,0.020999999999999998
4,0.005873203277587891,111,0.555,0.027999999999999997,0.027999999999999997
5,0.007639646530151367,101,0.505,0.035,0.035
6,0.0057697296142578125,99,0.495,0.041999999999999996,0.041999999999999996
7,0.005425930023193359,94,0.47,0.048999999999999995,0.048999999999999995
8,0.0073702335357666016,92,0.46,0.055999999999999994,0.055999999999999994
9,0.009087800979614258,94,0.47,0.063,0.063
10,0.006194591522216797,112,0.56,0.07,0.07
11,0.0066165924072265625,104,0.52,0.077,0.077
12,0.00991964340209961,105,0.525,0.08399999999999999,0.08399999999999999
13,0.006646394729614258,90,0.45,0.091,0.091
14,0.008705377578735352,103,0.515,0.09799999999999999,0.09799999999999999
15,0.009856939315795898,103,0.515,0.105,0.105
16,0.009776592254638672,97,0.485,0.11199999999999999,0.11199999999999999
17,0.006535768508911133,102,0.51,0.11899999999999998,0.11899999999999998
18,0.005465984344482422,101,0.505,0.126,0.126
19,0.005342245101928711,97,0.485,0.13299999999999998,0.13299999999999998
20,0.006661653518676758,104,0.52,0.14,0.14
21,0.0065228939056396484,104,0.52,0.147,0.147
22,0.007512331008911133,99,0.495,0.154,0.154
23,0.005629539489746094,98,0.49,0.16099999999999998,0.16099999999999998
24,0.006142377853393555,111,0.555,0.16799999999999998,0.16799999999999998
25,0.006038665771484375,105,0.525,0.175,0.175
26,0.0064411163330078125,99,0.495,0.182,0.182
27,0.00579524040222168,107,0.535,0.18899999999999997,0.18899999999999997
28,0.005754709243774414,100,0.5,0.19599999999999998,0.19599999999999998
29,0.006906986236572266,92,0.46,0.20299999999999996,0.20299999999999996
30,0.006054878234863281,105,0.525,0.21,0.21
31,0.005850315093994141,100,0.5,0.217,0.217
32,0.006127357482910156,97,0.485,0.22399999999999998,0.22399999999999998
33,0.006437540054321289,99,0.495,0.23099999999999998,0.23099999999999998
34,0.005720853805541992,105,0.525,0.23799999999999996,0.23799999999999996
35,0.0073812007904052734,92,0.46,0.245,0.245
36,0.007124900817871094,101,0.505,0.252,0.252
37,0.008154869079589844,105,0.525,0.259,0.259
38,0.0068361759185791016,94,0.47,0.26599999999999996,0.26599999999999996
39,0.00809335708618164,106,0.53,0.27299999999999996,0.27299999999999996
40,0.00625157356262207,107,0.535,0.28,0.28
41,0.006212949752807617,98,0.49,0.287,0.287
42,0.006895303726196289,99,0.495,0.294,0.294
43,0.010019540786743164,97,0.485,0.301,0.301
44,0.00968313217163086,92,0.46,0.308,0.308
45,0.007825136184692383,94,0.47,0.31499999999999995,0.31499999999999995
46,0.006802082061767578,105,0.525,0.32199999999999995,0.32199999999999995
47,0.008219003677368164,108,0.54,0.32899999999999996,0.32899999999999996
48,0.011851072311401367,98,0.49,0.33599999999999997,0.33599999999999997
49,0.009035825729370117,104,0.52,0.34299999999999997,0.34299999999999997
